name	description
android-manifest	The manifest presents essential information about the application to the Android system
tcl	Tool Command Language was invented by John Ousterhout as a way to make it easy to write little languages for configuring EDA tools, but it has grown far beyond those humble beginnings to become a gene
jpeg	a commonly used method of lossy compression for digital photography (image). 
ascii	A character-encoding scheme based on the ordering of the English alphabet.
capybara	a web application testing framework for Rack applications, such as Rails, Sinatra and Merb.
connection-string	A string containing information necessary for connecting to a service, usually database.
links	a reference to a document or a part of a document that can be followed automatically.
local-storage	a way to store persistent data using JavaScript (see also: Session storage).
beautifulsoup	a Python package for parsing HTML. The latest version of this package is version 4, imported as bs4.
background-image	The background-image CSS property sets one or more background images for an element.
nhibernate-mapping	XML .NET object to database mappings for NHibernate, open source object-relational mapper (ORM) for the .NET framework.
listener	An object that reacts to an event that it is 'listening' for.
android-camera	The Android framework includes support for various cameras and camera features available on devices, allowing you to capture pictures and videos in your applications.
url-routing	the process of mapping a URL to its content.
blob	a collection of binary data stored as a single entity in a database management system.
chat	"Generic term for ""Instant Messaging System"". It can also represent a discussion that occurs in an Instant Messaging System."
posix	an acronym for Portable Operating System Interface, a set of standards defining programming APIs and utility behavior for Unix-like operating systems.
subprocess	"The Python subprocess module ""allows you to spawn new processes, connect to their input/output/error pipes, and obtain their return codes."""
fullcalendar	a jQuery plugin developed by Adam Shaw that loads events by AJAX (as well as other methods) and presents them in a calendar/agenda display.
integration	The process of linking together different computing systems and software applications physically or functionally, to act as a coordinated whole.
text-files	"primarily associated with 'Text File'.
Open in Notepad, WordPad, or many other programs designated as text editors.
A true text file will be pure ASCII text with no formatting. "
customization	Modifying the default state of an application to suit a user's preferences or to address the unique requirements of a particular objective.
windows-phone-7.1	"the version number of the OS and developer SDK for Windows Phone ""Codename Mango"". Phones running this operating system are marketed as being ""Windows Phone 7.5""."
decimal	the name for our common base-ten numeral system. It may also refer to non-integer values expressed with a decimal point.
scrollview	Layout container for a view hierarchy that can be scrolled by the user, allowing it to be larger than the physical display.
webgl	WebGL extends the capability of the HTML canvas element to allow it to render accelerated 3D graphics in any compatible web browser.
android-mapview	MapView allows you to create your own Google map-viewing Activity
glsl	the standard programming language for shaders in OpenGL. There are many versions of the language, with each version corresponding to a version of OpenGL. OpenGL E
uiimagepickercontroller	Questions related to the iOS UIImagePickerController class (and the associated UIImagePickerControllerDelegate protocol), which provides system-supplied user interfaces for taking pictures and movies 
max	Maximum value. Largest, biggest, greatest.
metaprogramming	the capability to reprogram ones programming environment, as with macros or metaclasses.
log4net	a tool to help the programmer output log statements to a variety of output targets. log4net is a port of the excellent Apache log4j framework to the Microsoft .NET runt
clickonce	a Microsoft technology that simplifies deployment of applications by publishing to a website, where the user can install it from by clicking a link on a page of that website. After the in
wamp	WAMP refers to a style of web development utilizing Windows, Apache Web Server, MySQL database, and the PHP programming language. Compare with LAMP.
capistrano	a developer tool for deploying web applications. It is typically installed on a workstation, and used to deploy code from your source code management (SCM) to one, or more servers.
aes	a cryptographic block cipher algorithm.
httpclient	DO NOT USE - Use [apache-commons-httpclient], [apache-httpclient-4.x] or [dotnet-httpclient]
plone	a content management system (CMS) written in Python. Its strengths lie in intranets, websites and document management. It has robust support for multilingual content, versioning and is easy t
left-join	"an outer join which generates a result that contains all the records of the ""left"" table even when there are no matching records in other tables taking part in the join."
internet-explorer-6	an old version of Internet Explorer. It was shipped with Windows XP and Windows Server 2003.
console-application	a computer program designed to be used via a text-only computer interface, such as a text terminal, the command line interface of some operating systems (Unix, DOS, etc.) or t
sublimetext2	a multi-language and cross-platform sophisticated code editor developed by Jon Skinner.
pyqt4	a set of Python bindings for Nokia's Qt application framework and runs on all platforms supported by Qt including Windows, MacOS/X and Linux.
coordinates	indicate the position of an object relative to an axis. Commonly, refers to a latitude/longitude pair that indicates a geographical position.
multiprocessing	the use of two or more central processing units (CPUs) within a single computer system
wso2	WSO2, Open Source Java based Middleware Service provider. All WSO2 products are 100% open source and released under the Apache License Version 2.0.  
automated-tests	the use of software to control the execution of tests, the comparison of actual outcomes to predicted outcomes, the setting up of test preconditions, and other test control and test
ssl-certificate	An SSL certificate (Secure Socket Layer Certificate) is an X.509 certificate that is issued for the purpose of identifying peers in an SSL connection. It is assigned to a domain or hosting account.
asmx	"the web service technology from .NET 1.0. Don't use it unless you have to. It is now a ""legacy technology"". All new development of web services or of web service clients should use Windows Communicati"
constraints	a condition that has to be fulfilled in a given context. Constraints are typically used in databases and programming languages to detect errors, ensure data consistency, accuracy, and 
push	the action of sending local changes to a remote repository.
facebook-fql	Facebook Query Language (FQL) enables you to use a SQL-style interface to query the data exposed by the Graph API. It provides for some advanced features not available in the Graph API such as using t
fork	the Unix/Linux/POSIX way of creating a new process by duplicating the calling process.
richtextbox	The RichTextBox control enables you to display or edit RTF (Rich Text Format) content. This content may include formatted paragraphs, hyperlinks, and inline images.
castle-windsor	"an Inversion of Control container for .NET and Silverlight. Current version is 3.2.1, released in July 2013.

It has a comprehensive documentation that can answer most of your ques"
gradle	"a project build automation tool that uses a Groovy DSL. Gradle build scripts use Maven repositories for dependency management. 
"
port	an application-specific or process-specific software construct serving as a communications endpoint.
lazy-loading	a design pattern commonly used in computer programming to defer initialization of an object until the point at which it is needed.
fragment	an ambiguous tag, used to refer to numerous technologies.  Prefer less ambiguous tags.
jruby	an open-source Java implementation of the Ruby programming language. It is Ruby for the JVM. Using idiomatic Ruby syntax, JRuby can consume Java classes and libraries with ease. 
delphi-xe2	a specific version of Delphi. Delphi XE2 was released on September 1, 2011 and is available as a standalone product or as part of RAD Studio XE2.
ocaml	a strict strongly-typed functional programming language, focusing on expressivity, correctness and efficiency.
bundle	a group of resources. 
css-position	"The ""position"" property in CSS allows an element to be positioned elsewhere on the page relative to some starting position."
admob	"a mobile advertising company owned by Google which lets developers monetize their applications by ""renting"" screen real-estate to display ads.
AdMob is one of the world's largest mobile adve"
sitecore	"a web Content Management System (CMS) built on Microsoft ASP.NET.
"
structure	a fundamental, tangible or intangible notion referring to the recognition, observation, nature, and permanence of patterns and relationships of entities.
datasource	a name given to the connection set up to a database from a server. The name is commonly used when creating a query to the database. The database source name (DSN) does not have to be the
haml	a markup language thats used to cleanly and simply describe the HTML of any web document without the use of inline code. It can be used as a standalone HTML generation tool or as a template r
z-index	z-index represents the order on the z-plane in which an element appears. An element with higher stack order is always in front of another element with lower stack order. It is available in most of the
json.net	a popular high-performance JSON framework for .NET
runtime-error	detected after or during the execution of a program.
facebook-php-sdk	The Facebook PHP-SDK provides Facebook Platform support to your PHP - based web apps.
slideshow	a display of a series of chosen information, and/or pictures, which is done for artistic or instructional purposes.
substring	Part of a string, or the function/method that returns part of a string
single-sign-on	Single sign-on, a system for sharing authentication credentials between different systems
sdl	a cross-platform multimedia library designed to provide low level access to audio, keyboard, mouse, joystick, 3D hardware via OpenGL, and 2D video framebuffer. It is 
parameter-passing	the process of assigning values to the parameters of a function
hashtable	a collection that uses a hash function to map identifying values (keys) to their associated values.
screen-scraping	Screen-scraping, also known as web-scraping or data-scraping is a software technique use to collect and parse information from user interfaces. 
project-management	the discipline of planning, organizing, securing, and managing resources to achieve specific goals.
source-code	text written in a computer programming language. It can be automatically translated to binary machine code that the computer can directly read and execute.
apache-poi	a Java library for reading and writing various Microsoft file formats, especially Office related ones, based on OLE2 and OOXML, such as XLS and DOCX.
transparency	the property of being see-through; a transparent object reveals objects behind it.  Transparency is also known as alpha blending.  The opposite of transparency is opacity.
setup	Installation (or setup) of a computer program (including device drivers and plugins), is the act of making the program ready for execution.
kohana	HMVC PHP5 framework that provides a set of components for building web applications. Be sure to mention specific version when asking.
unity	a lightweight, extensible dependency injection container for .NET with support for interception. 
teamcity	a Java-based build management and continuous integration server from JetBrains.
exchange-server	Microsoft Exchange Server. Microsoft's Enterprise level messaging server.
sharedpreferences	Shared Preferences allow you to save and retrieve persistent key-value pairs of primitive data types in Android applications. It can be used either inside a single app or shared between multiple apps.
media-queries	Media queries enable the conditional application of CSS styles based on media types, such as screen and print, and the conditions of media features, such as viewport and device height and width. They 
oledb	OLE DB (Object Linking and Embedding, Database, sometimes written as OLEDB or OLE-DB) is an API designed by Microsoft for accessing data from a variety of sources in a uniform manner.
gd	"an open source code library for the dynamic creation of images by programmers. GD is written in C, and ""wrappers"" are available for Perl, PHP and other languages. GD creates PNG, JPEG and GIF im"
jax-rs	JAX-RS: Java API for RESTful Web Services. It is an API that provides support in creating web services according to the REST architectural style. 
emulator	a system which is designed to perform the duties of a different system.
translation	the process of replacing strings in an application or website to make interfacing with the application or website easier for people from countries with different languages.
web-security	the broad term given to practices used to improve application security over the internet. This can include systems used and stored on the internet, and systems transferring data across
prototype	In prototype-based languages, the prototype of an object is a set of properties which is inherited by all objects which are based on this object.
pygame	a set of Python modules designed for writing video games. It is highly portable and is built on top of the SDL library.
clone	a copy of an object with all of the same attributes, data, and methods as the original object. Or a software system that is designed to mimic another system.
httprequest	a message within a request/response sequence, according to HTTP specification. May also refer an HttpRequest class in software frameworks and libraries that automates relevant function
printf	a C function that prints formatted strings. Other languages have also added a printf function.
concatenation	Refers to the joining of two or more tokens into a single token. In programming, this generally refers to string concatenation, which joins multiple strings into a single string.
special-characters	Special characters (as they apply to programming) are language-specific reserved characters or symbols used to accomplish a specific task (e.g. wildcard characters, data type indicators, escape charac
web-crawler	a computer program that browses the World Wide Web in a methodical, automated manner or in an orderly fashion. Other terms for Web crawlers are ants, automatic indexers, bots, Web spi
rsa	"a common public key algorithm, which can be used for encryption and signature. It is a core component of most the security protocols used on the Internet, including the SSL/TLS protocol suite."
search-engine	program that searches documents for specified keywords and returns a list of the documents where the keywords were found.
javabeans	a custom class which often represents real-world data and encapsulates private properties by public getter and setter methods. For example, User, Product, Order, etc.
primary-key	a set of attributes that is irreducibly unique and non-nullable within a table.
android-service	an application component representing either an application's desire to perform a longer-running operation while not interacting with the user or to supply functionality for other applica
echo	Simple function outputting text. Exists in script languages.
maven-3	a tool for project management and build automation. This tag is for questions relating to Maven version 3.x.  For non version-specific questions, please use the [maven] tag.
tableview	a means for displaying and editing hierarchical lists of information. For example: UITableView in Cocoa-touch.
servicestack	a modern, code-first, DTO-driven, WCF replacement web services framework encouraging best-practices for creating DRY, high-perfomance, scalable REST web services
build-process	The sequence of actions required to construct a software product or executable application, or the system which performs such actions.
box2d	a free open source 2-dimensional physics simulator engine written in C++ by Erin Catto and published under the zlib license
selector	A selector can be a string identifying a method name in the Objective-C or Smalltalk programming language or a special kind of switch used in computers to connect multiple lines (I/O) to a single line
jboss7.x	Version 7  of the JBoss Application Server
element	an atomic unit of data that has precise meaning or precise semantics.
antlr	ANTLR, ANother Tool for Language Recognition, is a language tool that provides a framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containi
xss	a type of computer security vulnerability typically found in web applications that enables malicious attackers to inject client-side script into web pages viewed by other
this	Keyword that refers to the current class instance / object in most object-oriented programming languages.
selection	The selection can refer to text that has been highlighted, or it can refer to a choice made in UI elements that require one, e.g. a particular option in an HTML `select`.
monodevelop	an IDE focusing on developing desktop, mobile and web applications using C# and other .NET languages. It's open source and extensible, and runs on Mac, Windows and Linux.
newline	Newline refers to a character sequence representing a line break in text (also known as End of Line, EOL, or Line Break). Different operating systems have different sequences for newlines.
prism	"Microsoft's Composite Application Guidance for WPF and Silverlight
"
filtering	In signal processing the complete or partial suppression of some aspect of the signal. Or selecting a subset of some set of data.
viewmodel	a framework which defines a coherent set of views to be used in the construction of an architecture. A view is a representation of a whole system from the persp
md5	Cryptographic hash function with a 128-bit (16-byte) hash value.
static-libraries	a set of variables and functions packed in a file, read by the linker during the program build and included in the resulting executable
windows-ce	Microsoft Windows CE (now officially known as Windows Embedded Compact and previously also known as Windows Embedded CE, and sometimes abbreviated WinCE) is an operating system developed by Microsoft 
ipc	IPC stands for Inter-process Communication and represents a set of methods for exchanging data and messages between threads and processes.
constants	definitions whose value is fixed throughout a program's execution. Literals in most languages are constants, for example. In referentially transparent programming styles, 
eval	a function available in a number of programming languages (including PHP, Python Javascript, among others), which allows the programmer to execute arbitrary code written in the same language
protocols	A common means for (un)related objects to communicate with each other.
mpmovieplayercontroller	A movie player (of type MPMoviePlayerController) manages the playback of a movie from a file or a network stream. Playback occurs in a view owned by the movie player and takes place either fullscreen 
task	a concurrent thread of execution in an Ada program. Tasks correspond to Threads in Java.
ejb-3.0	used for question related to the session bean and message-driven bean component types of the EJB 3.0 programming model. For questions about the persistent entities defined in the document 
amazon	a US-based multinational e-commerce company.
itext	Library to create and manipulate PDF documents in Java.
delphi-7	one of the most popular and widely used version of Delphi. It is a very capable and stable release that is still widely used today for Windows-based Object Orient
locale	a set of parameters that defines the user's language, country and any special variant preferences that the user wants to see in their user interface. Usually a locale identifie
stylesheet	"made up of style rules that tell a browser how to present a document. Its contains the CSS that is used in HTML file.
Questions having the problem related to design will come under t"
tuples	simple *product types*, representing ordered collections of types.
dynamics-crm	a multilingual Customer Relationship Management software package developed by Microsoft. It has built in support for Sales, Marketing and Service. It can be used as an xRM pl
panel	a simple container that allows other elements to be placed into it, especially visual user interface elements.
limit	Relates to any sort of limit applied to data or resources, e.g. limiting the size or value of a variable, limiting the rate of incoming traffic or CPU usage. [tag:sql-limit] should be used to refer to
jbutton	a common button in Java Swing.
transform	The CSS3 transform property applies a 2D or 3D transformation to an element. This property allows you to rotate, scale, move, skew, etc., elements. The CSS3 transform property is currently not support
avfoundation	The AV Foundation framework provides an Objective-C interface for managing and playing audio-visual media in your Mac OS X or iOS application.
backgroundworker	a helper class in .NET's System.ComponentModel namespace providing a general implementation of the Event-Based Asynchronous Pattern to manage a worker thread, support cooperative c
real-time	*real-time* when the *timeliness* of the activities' completion is a functional requirement and correctness condition, rather than merely a performance metric.  A real-time system is one whe
standards	officially published or well agreed upon formats, procedures, or protocols. They allow individuals or organizations to collaborate by setting ground rules or boundaries. Standards often 
thumbnails	reduced-size versions of pictures, used to help in recognizing and organizing them, serving the same role for images as a normal text index does for words. 
opencl	a framework for writing programs that execute across heterogeneous platforms consisting of CPUs, GPUs, and other processors.
axis2	A Web Services/SOAP/WSDL framework supported by the Apache Software Foundation
ajaxcontroltoolkit	an open-source project built on top of the Microsoft ASP.NET AJAX framework.
integration-testing	a phase in software testing where individual software modules (or components) are combined and tested in a group. Integration testing happens after unit testing, and before syst
extension-methods	"a language feature of Visual Basic.NET and c#. Extension methods enable you to ""add"" methods to existing types without creating a new derived type, recompiling, or otherwise mod"
bundler	a system that attempts to manage a ruby application's gem dependencies across multiple developers and environments.
codeigniter-2	a powerful PHP framework with a very small footprint, built for PHP coders who need a simple and elegant toolkit to create full-featured web applications.
dotnetnuke	A .NET open source content management system and web application development framework 
undefined	undefined if it has not been assigned a value.
bind	means different things in different contexts; consider using less ambiguous tags instead or in addition. Common meanings include: the bind method in jQuery; the bind function in socket progra
facebook-c#-sdk	The Facebook SDK for .NET helps developers build web, desktop, phone and Windows Store applications that integrate with Facebook.
innodb	an ACID-compliant transactional storage engine for MySQL that uses MultiVersion Concurrency Control (MVCC).
draggable	An element capable of being dragged.
classloader	an object that is responsible for loading classes in Java.
zend-form	a class provided by the Zend Framework, an open source PHP 5 object oriented framework. The class assists in creating, rendering, and processing HTML forms. 
actionscript-2	a scripting language used by the Adobe Flash software, introduced in Flash MX.
asset-pipeline	a feature added to Ruby on Rails 3.1 to provide improved organization and processing for JavaScript, stylesheets, and images.
common-lisp	a standardized version of the Lisp programming language intended for production-strength power and libraries.
winrt-xaml	for the XAML UI framework specific to Windows-Store-Apps on Windows-8. WinRT-XAML is a subset of the general XAML specification and a superset of Windows-Phone-8 XAML.
moq	"Moq (pronounced ""Mock-you"" or just ""Mock"") is a mocking framework for .NET build using the language features of C# 3 and the .NET 3.5 platform."
accordion	a type of javascript menu that allows for additional content to be shown below the heading upon mouse action. Only one heading's content can be open at a time. When the next heading is
like	For topics related to the 'like' functionality in social networks such as Facebook, '+1' in Google+, etc.
modal-dialog	display important information to the user. These dialogs appear above all other content, blocking application flow until user input is received.
nokogiri	An HTML, XML, SAX, & Reader parser with the ability to search documents via XPath or CSS3 selectors and much more
deserialization	the process by which an object is recreated from its serialized state.
hardware	Programming questions related to the physical components of a computer.  Please specify the model of your hardware in your question.
android-linearlayout	one of the basic layouts in Android which arranges its children one after the other, horizontally or vertically.
umbraco	an open source .NET based content management system. It is released under the MIT license and powers a number of high profile sites, most notably Microsoft's own www.asp.net website.
loading	Loading refers to retrieving necessary information for display or functionality.
replication	The use of redundant resources to improve reliability, fault-tolerance, or performance.
handler	In the Observer pattern, an event handler is the function or method called on an observer listening for an event dispatched by the subject.  Also known as an event listener.
xpages	IBM's web and mobile application development platform for collaborative and social applications built on top of the IBM Lotus Domino platform.
pipe	"A Unix pipe connects file descriptors of two processes. A pipe is created with the POSIX pipe() function declared in <unistd.h>. Shells provide pipe creation between processes using ""|""."
font-face	a CSS rule that allows the definition of embedded fonts within a webpage.
gorm	Grails' object relational mapping (ORM) implementation.
gdi+	a Microsoft Windows application programming interface and core operating system component responsible for representing graphical objects and transmitting them to
field	a smaller piece of data from a larger collection.
containers	a class, a data structure, or an abstract data type whose instances are collections of other objects.
underscore.js	a utility-belt library for JavaScript that provides a lot of the functional programming support that you would expect in Prototype.js (or Ruby), but without extending any of the built-in
windows-vista	an operating system released in several variations developed by Microsoft for use on personal computers, including home and business desktops, laptops, tablet PCs, and media center PC
app-config	Application configuration files contain settings specific to an application.
repeater	used to display a repeated list of items that are bound to the control.
response	a general term for a message which is sent as an answer for previously made request.
unique	distinctly different from any other object in a collection.
powershell-v2.0	"Topics and problems related specifically to Windows PowerShell 2.0.  PowerShell 2.0 shipped with the releases of Windows 7 and Windows Server 2008 R2.

For general PowerShell topics, use the `PowerS"
threadpool	Pooling resources in given limits and automatically assign task to open workers.
rabbitmq	an open source robust messaging software for applications. 
adapter	a software design pattern that makes several interfaces compatible through a common interface or class.
admin	admin may refer to both physical persons or software accounts that are dedicated and privileged to change the system they operate.
instance	In object-oriented programming an instance is an occurrence or a copy of an object, whether currently executing or not.
match	A programming concept about finding results based on some kind of search. Typically used when talking about regular expressions.
silverlight-3.0	Microsoft's cross-browser, cross platform plug-in for media experiences and rich interactive applications. Silverlight 3 was released July 9, 2009
frame	Frame refers to a property of a UIView or an NSView in Objective-C. It is a 4-floating-point representation of the View's location in the parent view or window.
twig	a modern template engine for PHP, developed and used by default in the Symfony2 PHP framework.
syntax-highlighting	a feature of some text editors that display text (especially source code) in different colors and fonts according to the category of terms. 
notepad++	a free and open source text editor for Windows. It is designed as a replacement for the built-in Notepad application.
tomcat6	Version 6.x (December 2006) of the Apache Tomcat servlet container. Use only if your question is specifically related to features of this version.
clang	"an ""LLVM native"" C/C++/Objective-C compiler, which aims to deliver amazingly fast compiles, extremely useful error and warning messages and to provide a platform for building great source lev"
shader	a program to perform calculations on geometry or pixel data in computer graphics.
abstract-class	classes which cannot be instantiated. They exist to provide common functionality and interface specifications to several concrete classes.
excel-formula	for Microsoft Excel questions where the question or answers involve Excel formula, as opposed to VBA or other code mechanism. 
internet	Global system of interconnected computer networks serving billions of users worldwide.
cluster-computing	a set of connected systems that work together so that in many respects they can be viewed as a single system. 
parent-child	A relationship between entities in which one acts in a major role and the other in a minor role.
virtual-machine	software emulating complete computer hardware. There are various applications that supply this functionality. 
jsoup	Java API for extracting and manipulating HTML data, using the best of DOM, CSS, and jquery-like methods.
javamail	A Java API to send and receive emails. JavaMail is part of Java EE, but can also be used in Java SE via a separate download.
nuget	a free, open source developer focused package management system for the .NET platform.
session-variables	a unit of information within a session state. It is maintained across a user's visit within the constraints of the stateless HTTP protocol. 
imap	Internet message application protocol (commonly known as IMAP) is one of the two most prevalent Internet standard protocols for e-mail retrieval, the other being the Post Office Protocol (POP).
qt-creator	a comprehensive open source C++ IDE which is part of the Qt SDK from Digia. 
hbase	the Hadoop database. Use it when you need random, realtime read/write access to your Big Data. This project's goal is the hosting of very large tables -- billions of rows X millions of column
yui	a set of utilities and controls, written with JavaScript and CSS, for building richly interactive web applications using techniques such as DOM scripting, DH
share	 
xquery	a functional language designed to query and manipulate XML data with XPATH.
laravel-4	the current version of the open-source PHP web development framework created by Taylor Otwell. Laravel helps you create applications using simple, expressive syntax.
ienumerable	a .NET interface for iterating (or enumerating) a collection of items.
restkit	an Objective-C framework for iOS that aims to make interacting with RESTful web services simple, fast and fun. It combines a clean, simple HTTP request/response API with a powerful object m
paypal-api	API for Paypal payment services integration
uigesturerecognizer	an abstract base class for concrete gesture-recognizer classes. A gesture-recognizer object (or, simply, a gesture recognizer) decouples the logic for recognizing a gesture and 
boost-asio	a cross-platform C++ library for network and low-level I/O programming that provides developers with a consistent asynchronous model using a modern C++ approach.
css-transitions	CSS transitions provide a way to animate changes to CSS properties instead of having the changes take effect instantly.
mpi	the Message Passing Interface, a library for distributed memory parallel programming and the de facto standard method for using distributed memory clusters for high-performance technical comput
converter	"`Converters` can change data from one type to another, translate data based on cultural information, or modify other aspects of the presentation. For examples of some typical converter scenarios

Va"
overloading	"The terms overloading and overloaded may refer to:

  - Constructor and method overloading, a type of polymorphism where different functions with the same name are invoked based on the data types of"
activemq	"an open source (Apache 2.0 licensed) message broker which fully implements the Java Message Service 1.1 (JMS). It provides ""Enterprise Features"" like clustering, multiple message st"
aptana	refers to the Aptana Studio development environment, a free, open-source (GPL) application designed to edit and debug HTML, JavaScript, CSS, Ruby, PHP and Python web apps.
jmeter	open source software, a 100% pure Java application designed to load test functional behavior and measure performance. It was originally designed for testing We
external	 
apk	An .apk file extension denotes an Android Package (APK) file. This file format, a variant of the JAR format, is used for distributing and installing bundled components onto the Android operating syste
message	Facebook messages, JavaScript messages, mobile messages (Android, iOS, windows-phone), etc.
google-spreadsheet	Questions related to accessing a Google Spreadsheets document
whitespace	often used to refer to any combination of spaces, tabs, and new lines which create blank space between text, either horizontally or vertically.
powerpoint	a Windows and Macintosh presentation program produced by Microsoft. It is primarily used to create presentations to be projected. However, due to the flexible nature of its canvas, it is
block	Can refer to many different things depending on the use of other tags with it.
twisted	an event-driven networking engine, written in Python and implementing many different protocols.
greasemonkey	"if you are using Firefox or the Tampermonkey extension for Chrome. For all other userscripts, please use the ""userscripts"" tag.

Greasemonkey is a Firefox add-on that allows"
phone	a telecommunications device that permits two or more users to conduct a conversation when they are not in the same vicinity of each other to be heard directly.
href	a reference to a document that the reader can directly follow, or that is followed automatically.
virtual	An extensible or simulated artifact
context	"DO NOT USE - Deprecated as part of ""The great Stack Overflow tag/question cleanup of 2012"". Please use a more specific tag instead. For Android contexts, use [android-context]. For a context menu, use"
ip-address	An Internet Protocol address (IP address) is a numerical label assigned to each device in a computer network that uses the Internet Protocol for communication. This is a general tag that covers both I
google-maps-markers	Markers identify locations on the map. By default, they use a standard icon, though you can set a custom icon. Markers are designed to be interactive and are often used within event listeners to bring
android-tabhost	Displays a list of tab labels representing each page in the parent's tab collection.
fullscreen	A fullscreen object occupies the entire screen.
marshalling	the process of transforming the memory representation of an object to a data format suitable for storage or transmission
screenshot	A screenshot, screen capture, or screen dump is an image taken by the computer to record the visible items displayed on the monitor or another visual output device
mef	The Managed Extensibility Framework (MEF) simplifies the design of extensible and modular applications, and is a standard component of Microsoft .NET 4.0 and Silverlight 4.0
llvm	a collection of modular and reusable compiler and toolchain technologies.
group	 
distinct	used to remove duplicate values from a result of a query.
binary-tree	a tree data structure in which each node has at most two child nodes, left and right. Nodes with children are parent nodes and the node without a parent is the root node.
inputstream	An abstract mechanism for reading a data stream in Java
selenium2	Version 2 of Selenium Browser Automation Framework
ssas	part of Microsoft's SQL Server system.  It provides Online Analytical Processing (OLAP) and Data Mining functionality.
accessibility	Accessibility: the practice of making software which functions smoothly for users with a variety of disabilities, including blindness, deafness, and paralysis among others.
adb	a tool that comes with the Android SDK that allows you to control and interface with your Android device.
case	In SQL, the CASE expression executes a list of conditions, returning the result where the condition evaluates to true.
signalr	"a new library for ASP.NET developers that makes it incredibly simple to add real-time web functionality to your applications. What is ""real-time web"" functionality? It's the ability"
jquery-ui-dialog	The Dialog widget that forms part of the jQuery.UI library
wcf-data-services	This technology uses the OData protocol to transport data over the Internet using REST-ful paradigms. WCF Data Services was formerly known as ADO.NET Data Services and its code name, Astoria.
andengine	a free 2D OpenGL game engine for the Android platform and includes the Box2D physics engine.
itunes	Apple's proprietary digital media player application. 
sas	a 4GL that underpins the SAS system, a suite of products centered around data processing and statistical procedures.
dreamweaver	a combination of an IDE for PHP, ASP, ColdFusion and a WYSIWYG HTML/CSS editor.  Additionally, it allows non-programmers to integrate several basic server-side scripting functions into 
lightbox	a JavaScript application used to display large images using modal dialogs.
add-in	a synonym for plugin - a program that is triggered by a host program allowing third party developers to manipulate or extend the hosting program.
store	a data repository of a set of integrated objects. These objects are modeled using classes defined in database schemas. Data store includes not only data repositories like databases, it is a
jquery-events	jQuery supports several methods for implementing JavaScript events
yaml	"a human friendly data serialization standard for all programming languages.

In some cases it can also refer to YAML: Yet Another Multicolumn Layout. An ope"
inner-join	A database operation that combines the values of 2 tables based on a condition, or relationship, that exists between those tables.
return-value	the result of evaluation of a return statement.
gson	Google's open-source library for serializing and deserializing Java objects to/from [JSON].
ubuntu-12.04	The current LTS release of Ubuntu, code-named Precise Pangolin. Released on 26th April, 2012. You should only use this tag if your question is hardware or version-specific.
glassfish-3	an open source, production-ready, Java EE-compatible application server.
odata	a Web protocol for querying and updating data. It enables rich relational data that is accessible from nearly any platform by using web standards such as REST, AtomPu
union	a keyword of the SQL language for combining the results of multiple SQL's. The  UNION syntax combines the results from multiple SQL selects by eliminating duplicates. The related tag is UNION
java-ee-6	for questions relating specifically to Java Enterprise Edition 6.
media	the storage and transmission channels or tools used to store and deliver information or data.
cell	a rectangular area with optional borders, background color and character string. 
sencha	a company specializing in web application frameworks, most importantly ExtJS and Sencha Touch. Sencha was originally formed when open source projects Ext JS, jQTouch, and Raphal joined forc
excel-2010	is used for referencing the Excel Version 2010 spreadsheet application from Microsoft. If your question is about VBA then also tag it VBA. If it is about an Excel formula or workshe
passenger	an application server for Rack and WSGI applications that can be run standalone or as an Apache or Nginx module.
wpfdatagrid	New and improved DataGrid control for Windows Presentation Foundation (WPF) applications.  Can be bound to a multitude of datasources.  Flexible, programmable rendering options to match custom user in
automapper	A convention-based object-to-object mapper and transformer for .NET
colorbox	A light-weight, customizable lightbox plugin for jQuery 1.3.2+.
orchardcms	a free, open source, community-focused project aimed at delivering applications and reusable components on the ASP.NET MVC platform.
monitoring	the act of looking on the processes or systems for performance, supervision and surveillance.
gpu	"Acronym for ""Graphics Processing Unit"". For programming traditional graphical applications, see the tag entry for ""graphics programming"". For general-purpose programming using GPUs, see the tag entry "
webclient	a class for .NET Framework applications that provides methods for sending and receiving data from a resource identified by a URI. 
.net-4.5	Version 4.5 of the .NET Framework.
dos	a family of operating systems for IBM PC compatibles of the 1980s and 1990s, including MS-DOS which was then displaced by Windows. For Windows batch files and command line, use the tags [window
xslt-1.0	for questions specific to XSL Transformations version 1.0
extract	Questions related to retrieving specific information from a (typically minimally structured) data source, such as a web site, media file, source code collection or compressed archive (in which case th
function-pointers	a pointer to a function, which can be stored in a variable allows a run-time choice of which function to run
build-automation	the act of scripting or automating tasks like compiling, packaging, running tests, deployment etc.
libgdx	a cross-platform (Windows, Mac OS X, Linux, Android, HTML5, and iOS) game development library written in Java with some JNI code. It abstracts away the differences between writin
scale	is mostly used for questions that relate to proportional resizing of images or UI elements.
jscrollpane	 could be used for questions about two topics: 1) a Java Swing component named JScrollPane, 2) a jQuery plugin. Please verify the companion tags to clarify the context of the questi
versioning	the process of assigning either unique version names or unique version numbers to unique states of computer software. Within a given version number category (major, minor), thes
intellisense	Microsoft's implementation of autocompletion, best known for its use in the Microsoft Visual Studio integrated development environment.
